arm,game_id,game_date,away,home,cutoff,pick,actual,correct,home_win_prob,selected_decimal_odds,stake,net_pnl
C,MIN-POR-2025-10-22,2025-10-22,MIN,POR,2025-10-21,MIN,MIN,1,0.4042,1.5395645124767854,100.0,53.96
A,NOP-MEM-2025-10-22,2025-10-22,NOP,MEM,2025-10-21,MEM,MEM,1,0.595401,1.573766072806432,100.0,57.38
B,NOP-MEM-2025-10-22,2025-10-22,NOP,MEM,2025-10-21,MEM,MEM,1,0.63,1.573766072806432,100.0,57.38
C,NOP-MEM-2025-10-22,2025-10-22,NOP,MEM,2025-10-21,MEM,MEM,1,0.6,1.573766072806432,100.0,57.38
A,PHI-BOS-2025-10-22,2025-10-22,PHI,BOS,2025-10-21,BOS,PHI,0,0.673813,1.4765224814319189,100.0,-100.0
B,PHI-BOS-2025-10-22,2025-10-22,PHI,BOS,2025-10-21,BOS,PHI,0,0.63,1.4765224814319189,100.0,-100.0
C,PHI-BOS-2025-10-22,2025-10-22,PHI,BOS,2025-10-21,BOS,PHI,0,0.6738,1.4765224814319189,100.0,-100.0
A,SAC-PHO-2025-10-22,2025-10-22,SAC,PHO,2025-10-21,PHO,PHO,1,0.605687,1.6098968398025695,100.0,60.99
B,SAC-PHO-2025-10-22,2025-10-22,SAC,PHO,2025-10-21,SAC,PHO,0,0.48,2.4018704589028004,100.0,-100.0
C,SAC-PHO-2025-10-22,2025-10-22,SAC,PHO,2025-10-21,PHO,PHO,1,0.6057,1.6098968398025695,100.0,60.99
A,SAS-DAL-2025-10-22,2025-10-22,SAS,DAL,2025-10-21,DAL,SAS,0,0.595827,1.6098968398025695,100.0,-100.0
B,SAS-DAL-2025-10-22,2025-10-22,SAS,DAL,2025-10-21,SAS,SAS,1,0.48,2.4018704589028004,100.0,140.19
C,SAS-DAL-2025-10-22,2025-10-22,SAS,DAL,2025-10-21,DAL,SAS,0,0.596,1.6098968398025695,100.0,-100.0
A,TOR-ATL-2025-10-22,2025-10-22,TOR,ATL,2025-10-21,ATL,TOR,0,0.530763,1.4765224814319189,100.0,-100.0
B,TOR-ATL-2025-10-22,2025-10-22,TOR,ATL,2025-10-21,TOR,TOR,1,0.48,2.775981354600629,100.0,177.6
C,TOR-ATL-2025-10-22,2025-10-22,TOR,ATL,2025-10-21,ATL,TOR,0,0.53,1.4765224814319189,100.0,-100.0
A,WAS-MIL-2025-10-22,2025-10-22,WAS,MIL,2025-10-21,MIL,MIL,1,0.666646,1.2641145649612964,100.0,26.41
B,WAS-MIL-2025-10-22,2025-10-22,WAS,MIL,2025-10-21,MIL,MIL,1,0.83,1.2641145649612964,100.0,26.41
C,WAS-MIL-2025-10-22,2025-10-22,WAS,MIL,2025-10-21,MIL,MIL,1,0.67,1.2641145649612964,100.0,26.41
A,DEN-GSW-2025-10-23,2025-10-23,DEN,GSW,2025-10-22,GSW,GSW,1,0.784401,1.776161052107465,100.0,77.62
B,DEN-GSW-2025-10-23,2025-10-23,DEN,GSW,2025-10-22,GSW,GSW,1,0.54,1.776161052107465,100.0,77.62
C,DEN-GSW-2025-10-23,2025-10-23,DEN,GSW,2025-10-22,GSW,GSW,1,0.7844,1.776161052107465,100.0,77.62
A,OKC-IND-2025-10-23,2025-10-23,OKC,IND,2025-10-22,OKC,OKC,1,0.465768,1.3692645512979118,100.0,36.93
B,OKC-IND-2025-10-23,2025-10-23,OKC,IND,2025-10-22,OKC,OKC,1,0.48,1.3692645512979118,100.0,36.93
C,OKC-IND-2025-10-23,2025-10-23,OKC,IND,2025-10-22,OKC,OKC,1,0.4658,1.3692645512979118,100.0,36.93
A,ATL-ORL-2025-10-24,2025-10-24,ATL,ORL,2025-10-23,ORL,ATL,0,0.95512,1.4765224814319189,100.0,-100.0
B,ATL-ORL-2025-10-24,2025-10-24,ATL,ORL,2025-10-23,ORL,ATL,0,0.58,1.4765224814319189,100.0,-100.0
C,ATL-ORL-2025-10-24,2025-10-24,ATL,ORL,2025-10-23,ORL,ATL,0,0.9551,1.4765224814319189,100.0,-100.0
A,BOS-NYK-2025-10-24,2025-10-24,BOS,NYK,2025-10-23,NYK,NYK,1,0.8955,1.6098968398025695,100.0,60.99
B,BOS-NYK-2025-10-24,2025-10-24,BOS,NYK,2025-10-23,BOS,NYK,0,0.48,2.4018704589028004,100.0,-100.0
C,BOS-NYK-2025-10-24,2025-10-24,BOS,NYK,2025-10-23,NYK,NYK,1,0.8955,1.6098968398025695,100.0,60.99
A,CLE-BRK-2025-10-24,2025-10-24,CLE,BRK,2025-10-23,BRK,CLE,0,0.591453,4.685708701524922,100.0,-100.0
B,CLE-BRK-2025-10-24,2025-10-24,CLE,BRK,2025-10-23,CLE,CLE,1,0.3,1.2134668931941166,100.0,21.35
C,CLE-BRK-2025-10-24,2025-10-24,CLE,BRK,2025-10-23,CLE,CLE,1,0.4085,1.2134668931941166,100.0,21.35
A,DET-HOU-2025-10-24,2025-10-24,DET,HOU,2025-10-23,HOU,DET,0,0.664008,1.419985256803251,100.0,-100.0
B,DET-HOU-2025-10-24,2025-10-24,DET,HOU,2025-10-23,HOU,DET,0,0.56,1.419985256803251,100.0,-100.0
C,DET-HOU-2025-10-24,2025-10-24,DET,HOU,2025-10-23,HOU,DET,0,0.664,1.419985256803251,100.0,-100.0
A,GSW-POR-2025-10-24,2025-10-24,GSW,POR,2025-10-23,GSW,POR,0,0.273292,1.688418440706501,100.0,-100.0
B,GSW-POR-2025-10-24,2025-10-24,GSW,POR,2025-10-23,GSW,POR,0,0.48,1.688418440706501,100.0,-100.0
C,GSW-POR-2025-10-24,2025-10-24,GSW,POR,2025-10-23,GSW,POR,0,0.2733,1.688418440706501,100.0,-100.0
A,MIA-MEM-2025-10-24,2025-10-24,MIA,MEM,2025-10-23,MEM,MIA,0,0.870396,1.648072857790548,100.0,-100.0
B,MIA-MEM-2025-10-24,2025-10-24,MIA,MEM,2025-10-23,MEM,MIA,0,0.58,1.648072857790548,100.0,-100.0
C,MIA-MEM-2025-10-24,2025-10-24,MIA,MEM,2025-10-23,MEM,MIA,0,0.87,1.648072857790548,100.0,-100.0
A,MIL-TOR-2025-10-24,2025-10-24,MIL,TOR,2025-10-23,TOR,MIL,0,0.622899,1.731066853085368,100.0,-100.0
B,MIL-TOR-2025-10-24,2025-10-24,MIL,TOR,2025-10-23,MIL,MIL,1,0.48,2.1747566620675696,100.0,117.48
C,MIL-TOR-2025-10-24,2025-10-24,MIL,TOR,2025-10-23,MIL,MIL,1,0.3771,2.1747566620675696,100.0,117.48
A,MIN-LAL-2025-10-24,2025-10-24,MIN,LAL,2025-10-23,MIN,LAL,0,0.151905,1.776161052107465,100.0,-100.0
B,MIN-LAL-2025-10-24,2025-10-24,MIN,LAL,2025-10-23,MIN,LAL,0,0.48,1.776161052107465,100.0,-100.0
C,MIN-LAL-2025-10-24,2025-10-24,MIN,LAL,2025-10-23,MIN,LAL,0,0.1519,1.776161052107465,100.0,-100.0
A,PHO-LAC-2025-10-24,2025-10-24,PHO,LAC,2025-10-23,PHO,LAC,0,0.172141,4.057906992550874,100.0,-100.0
B,PHO-LAC-2025-10-24,2025-10-24,PHO,LAC,2025-10-23,LAC,LAC,1,0.56,1.2641145649612964,100.0,26.41
C,PHO-LAC-2025-10-24,2025-10-24,PHO,LAC,2025-10-23,PHO,LAC,0,0.1721,4.057906992550874,100.0,-100.0
A,SAS-NOP-2025-10-24,2025-10-24,SAS,NOP,2025-10-23,SAS,SAS,1,0.096462,1.573766072806432,100.0,57.38
B,SAS-NOP-2025-10-24,2025-10-24,SAS,NOP,2025-10-23,NOP,SAS,0,0.56,2.487057668129615,100.0,-100.0
C,SAS-NOP-2025-10-24,2025-10-24,SAS,NOP,2025-10-23,SAS,SAS,1,0.0965,1.573766072806432,100.0,57.38
A,UTA-SAC-2025-10-24,2025-10-24,UTA,SAC,2025-10-23,UTA,SAC,0,0.109289,2.775981354600629,100.0,-100.0
B,UTA-SAC-2025-10-24,2025-10-24,UTA,SAC,2025-10-23,SAC,SAC,1,0.68,1.4765224814319189,100.0,47.65
C,UTA-SAC-2025-10-24,2025-10-24,UTA,SAC,2025-10-23,UTA,SAC,0,0.1093,2.775981354600629,100.0,-100.0
A,WAS-DAL-2025-10-24,2025-10-24,WAS,DAL,2025-10-23,WAS,WAS,1,0.367894,3.704879107293405,100.0,270.49
B,WAS-DAL-2025-10-24,2025-10-24,WAS,DAL,2025-10-23,DAL,WAS,0,0.68,1.302786193716658,100.0,-100.0
C,WAS-DAL-2025-10-24,2025-10-24,WAS,DAL,2025-10-23,WAS,WAS,1,0.3679,3.704879107293405,100.0,270.49
A,CHI-ORL-2025-10-25,2025-10-25,CHI,ORL,2025-10-24,CHI,CHI,1,0.41652,2.8847792084004973,100.0,188.48
B,CHI-ORL-2025-10-25,2025-10-25,CHI,ORL,2025-10-24,ORL,CHI,0,0.53,1.447485891745253,100.0,-100.0
C,CHI-ORL-2025-10-25,2025-10-25,CHI,ORL,2025-10-24,CHI,CHI,1,0.4165,2.8847792084004973,100.0,188.48
A,CHO-PHI-2025-10-25,2025-10-25,CHO,PHI,2025-10-24,CHO,PHI,0,0.49501,2.577547629742829,100.0,-100.0
B,CHO-PHI-2025-10-25,2025-10-25,CHO,PHI,2025-10-24,PHI,PHI,1,0.63,1.5395645124767854,100.0,53.96
C,CHO-PHI-2025-10-25,2025-10-25,CHO,PHI,2025-10-24,CHO,PHI,0,0.495,2.577547629742829,100.0,-100.0
A,IND-MEM-2025-10-25,2025-10-25,IND,MEM,2025-10-24,MEM,MEM,1,0.568298,1.731066853085368,100.0,73.11
B,IND-MEM-2025-10-25,2025-10-25,IND,MEM,2025-10-24,MEM,MEM,1,0.53,1.731066853085368,100.0,73.11
C,IND-MEM-2025-10-25,2025-10-25,IND,MEM,2025-10-24,MEM,MEM,1,0.5683,1.731066853085368,100.0,73.11
A,OKC-ATL-2025-10-25,2025-10-25,OKC,ATL,2025-10-24,OKC,OKC,1,0.258439,1.3237554899786077,100.0,32.38
B,OKC-ATL-2025-10-25,2025-10-25,OKC,ATL,2025-10-24,OKC,OKC,1,0.38,1.3237554899786077,100.0,32.38
C,OKC-ATL-2025-10-25,2025-10-25,OKC,ATL,2025-10-24,OKC,OKC,1,0.2584,1.3237554899786077,100.0,32.38
A,PHO-DEN-2025-10-25,2025-10-25,PHO,DEN,2025-10-24,DEN,DEN,1,0.642921,1.1705167244827641,100.0,17.05
B,PHO-DEN-2025-10-25,2025-10-25,PHO,DEN,2025-10-24,DEN,DEN,1,0.63,1.1705167244827641,100.0,17.05
C,PHO-DEN-2025-10-25,2025-10-25,PHO,DEN,2025-10-24,DEN,DEN,1,0.643,1.1705167244827641,100.0,17.05
A,BOS-DET-2025-10-26,2025-10-26,BOS,DET,2025-10-25,DET,DET,1,0.768988,1.688418440706501,100.0,68.84
B,BOS-DET-2025-10-26,2025-10-26,BOS,DET,2025-10-25,BOS,DET,0,0.43,2.2460313670886864,100.0,-100.0
C,BOS-DET-2025-10-26,2025-10-26,BOS,DET,2025-10-25,DET,DET,1,0.769,1.688418440706501,100.0,68.84
A,BRK-SAS-2025-10-26,2025-10-26,BRK,SAS,2025-10-25,SAS,SAS,1,0.909947,1.2463014106447146,100.0,24.63
B,BRK-SAS-2025-10-26,2025-10-26,BRK,SAS,2025-10-25,SAS,SAS,1,0.63,1.2463014106447146,100.0,24.63
C,BRK-SAS-2025-10-26,2025-10-26,BRK,SAS,2025-10-25,SAS,SAS,1,0.91,1.2463014106447146,100.0,24.63
A,CHO-WAS-2025-10-26,2025-10-26,CHO,WAS,2025-10-25,WAS,CHO,0,0.673006,1.776161052107465,100.0,-100.0
B,CHO-WAS-2025-10-26,2025-10-26,CHO,WAS,2025-10-25,CHO,CHO,1,0.48,2.107534892963796,100.0,110.75
C,CHO-WAS-2025-10-26,2025-10-26,CHO,WAS,2025-10-25,CHO,CHO,1,0.327,2.107534892963796,100.0,110.75
A,IND-MIN-2025-10-26,2025-10-26,IND,MIN,2025-10-25,MIN,MIN,1,0.882656,1.1983526205738455,100.0,19.84
B,IND-MIN-2025-10-26,2025-10-26,IND,MIN,2025-10-25,MIN,MIN,1,0.53,1.1983526205738455,100.0,19.84
C,IND-MIN-2025-10-26,2025-10-26,IND,MIN,2025-10-25,MIN,MIN,1,0.883,1.1983526205738455,100.0,19.84
A,LAL-SAC-2025-10-26,2025-10-26,LAL,SAC,2025-10-25,SAC,LAL,0,0.521393,1.6098968398025695,100.0,-100.0
B,LAL-SAC-2025-10-26,2025-10-26,LAL,SAC,2025-10-25,LAL,LAL,1,0.48,2.4018704589028004,100.0,140.19
C,LAL-SAC-2025-10-26,2025-10-26,LAL,SAC,2025-10-25,LAL,LAL,1,0.4786,2.4018704589028004,100.0,140.19
A,MIL-CLE-2025-10-26,2025-10-26,MIL,CLE,2025-10-25,MIL,CLE,0,0.257447,3.00059409210862,100.0,-100.0
B,MIL-CLE-2025-10-26,2025-10-26,MIL,CLE,2025-10-25,MIL,CLE,0,0.48,3.00059409210862,100.0,-100.0
C,MIL-CLE-2025-10-26,2025-10-26,MIL,CLE,2025-10-25,MIL,CLE,0,0.2574,3.00059409210862,100.0,-100.0
A,NYK-MIA-2025-10-26,2025-10-26,NYK,MIA,2025-10-25,NYK,MIA,0,0.430794,1.6098968398025695,100.0,-100.0
B,NYK-MIA-2025-10-26,2025-10-26,NYK,MIA,2025-10-25,NYK,MIA,0,0.48,1.6098968398025695,100.0,-100.0
C,NYK-MIA-2025-10-26,2025-10-26,NYK,MIA,2025-10-25,NYK,MIA,0,0.4308,1.6098968398025695,100.0,-100.0
A,POR-LAC-2025-10-26,2025-10-26,POR,LAC,2025-10-25,LAC,LAC,1,0.540774,1.3237554899786077,100.0,32.38
B,POR-LAC-2025-10-26,2025-10-26,POR,LAC,2025-10-25,LAC,LAC,1,0.53,1.3237554899786077,100.0,32.38
C,POR-LAC-2025-10-26,2025-10-26,POR,LAC,2025-10-25,LAC,LAC,1,0.5408,1.3237554899786077,100.0,32.38
A,TOR-DAL-2025-10-26,2025-10-26,TOR,DAL,2025-10-25,TOR,DAL,0,0.148126,1.776161052107465,100.0,-100.0
B,TOR-DAL-2025-10-26,2025-10-26,TOR,DAL,2025-10-25,TOR,DAL,0,0.43,1.776161052107465,100.0,-100.0
C,TOR-DAL-2025-10-26,2025-10-26,TOR,DAL,2025-10-25,TOR,DAL,0,0.1481,1.776161052107465,100.0,-100.0
A,ATL-CHI-2025-10-27,2025-10-27,ATL,CHI,2025-10-26,CHI,CHI,1,0.880181,2.2460313670886856,100.0,124.6
B,ATL-CHI-2025-10-27,2025-10-27,ATL,CHI,2025-10-26,ATL,CHI,0,0.48,1.688418440706501,100.0,-100.0
C,ATL-CHI-2025-10-27,2025-10-27,ATL,CHI,2025-10-26,CHI,CHI,1,0.88,2.2460313670886856,100.0,124.6
A,BOS-NOP-2025-10-27,2025-10-27,BOS,NOP,2025-10-26,NOP,BOS,0,0.611046,2.577547629742829,100.0,-100.0
B,BOS-NOP-2025-10-27,2025-10-27,BOS,NOP,2025-10-26,BOS,BOS,1,0.43,1.5395645124767854,100.0,53.96
C,BOS-NOP-2025-10-27,2025-10-27,BOS,NOP,2025-10-26,BOS,BOS,1,0.3889,1.5395645124767854,100.0,53.96
A,BRK-HOU-2025-10-27,2025-10-27,BRK,HOU,2025-10-26,HOU,HOU,1,0.72065,1.1131462361828037,100.0,11.31
B,BRK-HOU-2025-10-27,2025-10-27,BRK,HOU,2025-10-26,BRK,HOU,0,0.43,7.1867250406308765,100.0,-100.0
C,BRK-HOU-2025-10-27,2025-10-27,BRK,HOU,2025-10-26,HOU,HOU,1,0.72,1.1131462361828037,100.0,11.31
A,CLE-DET-2025-10-27,2025-10-27,CLE,DET,2025-10-26,DET,CLE,0,0.571769,2.1747566620675696,100.0,-100.0
B,CLE-DET-2025-10-27,2025-10-27,CLE,DET,2025-10-26,CLE,CLE,1,0.48,1.731066853085368,100.0,73.11
C,CLE-DET-2025-10-27,2025-10-27,CLE,DET,2025-10-26,CLE,CLE,1,0.4282,1.731066853085368,100.0,73.11
A,DEN-MIN-2025-10-27,2025-10-27,DEN,MIN,2025-10-26,DEN,DEN,1,0.449228,1.447485891745253,100.0,44.75
B,DEN-MIN-2025-10-27,2025-10-27,DEN,MIN,2025-10-26,DEN,DEN,1,0.48,1.447485891745253,100.0,44.75
C,DEN-MIN-2025-10-27,2025-10-27,DEN,MIN,2025-10-26,DEN,DEN,1,0.4493,1.447485891745253,100.0,44.75
A,MEM-GSW-2025-10-27,2025-10-27,MEM,GSW,2025-10-26,GSW,GSW,1,0.64525,1.3458934441795845,100.0,34.59
B,MEM-GSW-2025-10-27,2025-10-27,MEM,GSW,2025-10-26,MEM,GSW,0,0.48,3.3955957700766883,100.0,-100.0
C,MEM-GSW-2025-10-27,2025-10-27,MEM,GSW,2025-10-26,GSW,GSW,1,0.6453,1.3458934441795845,100.0,34.59
A,OKC-DAL-2025-10-27,2025-10-27,OKC,DAL,2025-10-26,OKC,OKC,1,0.140028,1.302786193716658,100.0,30.28
B,OKC-DAL-2025-10-27,2025-10-27,OKC,DAL,2025-10-26,OKC,OKC,1,0.43,1.302786193716658,100.0,30.28
C,OKC-DAL-2025-10-27,2025-10-27,OKC,DAL,2025-10-26,OKC,OKC,1,0.14,1.302786193716658,100.0,30.28
A,ORL-PHI-2025-10-27,2025-10-27,ORL,PHI,2025-10-26,PHI,PHI,1,0.702815,3.00059409210862,100.0,200.06
B,ORL-PHI-2025-10-27,2025-10-27,ORL,PHI,2025-10-26,ORL,PHI,0,0.48,1.419985256803251,100.0,-100.0
C,ORL-PHI-2025-10-27,2025-10-27,ORL,PHI,2025-10-26,PHI,PHI,1,0.703,3.00059409210862,100.0,200.06
A,PHO-UTA-2025-10-27,2025-10-27,PHO,UTA,2025-10-26,UTA,UTA,1,0.851103,1.776161052107465,100.0,77.62
B,PHO-UTA-2025-10-27,2025-10-27,PHO,UTA,2025-10-26,PHO,UTA,0,0.48,2.107534892963796,100.0,-100.0
C,PHO-UTA-2025-10-27,2025-10-27,PHO,UTA,2025-10-26,UTA,UTA,1,0.8511,1.776161052107465,100.0,77.62
A,POR-LAL-2025-10-27,2025-10-27,POR,LAL,2025-10-26,LAL,POR,0,0.653748,2.4018704589028004,100.0,-100.0
B,POR-LAL-2025-10-27,2025-10-27,POR,LAL,2025-10-26,LAL,POR,0,0.58,2.4018704589028004,100.0,-100.0
C,POR-LAL-2025-10-27,2025-10-27,POR,LAL,2025-10-26,LAL,POR,0,0.654,2.4018704589028004,100.0,-100.0
A,TOR-SAS-2025-10-27,2025-10-27,TOR,SAS,2025-10-26,SAS,SAS,1,0.787503,1.5395645124767854,100.0,53.96
B,TOR-SAS-2025-10-27,2025-10-27,TOR,SAS,2025-10-26,SAS,SAS,1,0.63,1.5395645124767854,100.0,53.96
C,TOR-SAS-2025-10-27,2025-10-27,TOR,SAS,2025-10-26,SAS,SAS,1,0.7875,1.5395645124767854,100.0,53.96
A,CHO-MIA-2025-10-28,2025-10-28,CHO,MIA,2025-10-27,MIA,MIA,1,0.714759,1.5395645124767854,100.0,53.96
B,CHO-MIA-2025-10-28,2025-10-28,CHO,MIA,2025-10-27,MIA,MIA,1,0.63,1.5395645124767854,100.0,53.96
C,CHO-MIA-2025-10-28,2025-10-28,CHO,MIA,2025-10-27,MIA,MIA,1,0.7147,1.5395645124767854,100.0,53.96
A,LAC-GSW-2025-10-28,2025-10-28,LAC,GSW,2025-10-27,GSW,GSW,1,0.505872,2.1075348929637956,100.0,110.75
B,LAC-GSW-2025-10-28,2025-10-28,LAC,GSW,2025-10-27,GSW,GSW,1,0.53,2.1075348929637956,100.0,110.75
C,LAC-GSW-2025-10-28,2025-10-28,LAC,GSW,2025-10-27,GSW,GSW,1,0.506,2.1075348929637956,100.0,110.75
A,NYK-MIL-2025-10-28,2025-10-28,NYK,MIL,2025-10-27,MIL,MIL,1,0.569965,2.1747566620675696,100.0,117.48
B,NYK-MIL-2025-10-28,2025-10-28,NYK,MIL,2025-10-27,NYK,MIL,0,0.49,1.731066853085368,100.0,-100.0
C,NYK-MIL-2025-10-28,2025-10-28,NYK,MIL,2025-10-27,MIL,MIL,1,0.57,2.1747566620675696,100.0,117.48
A,PHI-WAS-2025-10-28,2025-10-28,PHI,WAS,2025-10-27,PHI,PHI,1,0.405979,1.5395645124767854,100.0,53.96
B,PHI-WAS-2025-10-28,2025-10-28,PHI,WAS,2025-10-27,PHI,PHI,1,0.43,1.5395645124767854,100.0,53.96
C,PHI-WAS-2025-10-28,2025-10-28,PHI,WAS,2025-10-27,PHI,PHI,1,0.4059,1.5395645124767854,100.0,53.96
A,SAC-OKC-2025-10-28,2025-10-28,SAC,OKC,2025-10-27,OKC,OKC,1,0.773204,1.302786193716658,100.0,30.28
B,SAC-OKC-2025-10-28,2025-10-28,SAC,OKC,2025-10-27,OKC,OKC,1,0.63,1.302786193716658,100.0,30.28
C,SAC-OKC-2025-10-28,2025-10-28,SAC,OKC,2025-10-27,OKC,OKC,1,0.7732,1.302786193716658,100.0,30.28
A,ATL-BRK-2025-10-29,2025-10-29,ATL,BRK,2025-10-28,ATL,ATL,1,0.490203,1.3458934441795845,100.0,34.59
B,ATL-BRK-2025-10-29,2025-10-29,ATL,BRK,2025-10-28,ATL,ATL,1,0.43,1.3458934441795845,100.0,34.59
C,ATL-BRK-2025-10-29,2025-10-29,ATL,BRK,2025-10-28,ATL,ATL,1,0.49,1.3458934441795845,100.0,34.59
A,CLE-BOS-2025-10-29,2025-10-29,CLE,BOS,2025-10-28,CLE,BOS,0,0.425669,1.6098968398025695,100.0,-100.0
B,CLE-BOS-2025-10-29,2025-10-29,CLE,BOS,2025-10-28,CLE,BOS,0,0.47,1.6098968398025695,100.0,-100.0
C,CLE-BOS-2025-10-29,2025-10-29,CLE,BOS,2025-10-28,CLE,BOS,0,0.426,1.6098968398025695,100.0,-100.0
A,HOU-TOR-2025-10-29,2025-10-29,HOU,TOR,2025-10-28,HOU,HOU,1,0.434839,1.4765224814319189,100.0,47.65
B,HOU-TOR-2025-10-29,2025-10-29,HOU,TOR,2025-10-28,HOU,HOU,1,0.43,1.4765224814319189,100.0,47.65
C,HOU-TOR-2025-10-29,2025-10-29,HOU,TOR,2025-10-28,HOU,HOU,1,0.4348,1.4765224814319189,100.0,47.65
A,IND-DAL-2025-10-29,2025-10-29,IND,DAL,2025-10-28,DAL,DAL,1,0.626242,1.447485891745253,100.0,44.75
B,IND-DAL-2025-10-29,2025-10-29,IND,DAL,2025-10-28,IND,DAL,0,0.47,2.8847792084004973,100.0,-100.0
C,IND-DAL-2025-10-29,2025-10-29,IND,DAL,2025-10-28,DAL,DAL,1,0.6263,1.447485891745253,100.0,44.75
A,LAL-MIN-2025-10-29,2025-10-29,LAL,MIN,2025-10-28,MIN,LAL,0,0.577976,1.3458934441795845,100.0,-100.0
B,LAL-MIN-2025-10-29,2025-10-29,LAL,MIN,2025-10-28,LAL,LAL,1,0.47,3.3955957700766883,100.0,239.56
C,LAL-MIN-2025-10-29,2025-10-29,LAL,MIN,2025-10-28,MIN,LAL,0,0.578,1.3458934441795845,100.0,-100.0
A,MEM-PHO-2025-10-29,2025-10-29,MEM,PHO,2025-10-28,MEM,MEM,1,0.403964,1.731066853085368,100.0,73.11
B,MEM-PHO-2025-10-29,2025-10-29,MEM,PHO,2025-10-28,MEM,MEM,1,0.47,1.731066853085368,100.0,73.11
C,MEM-PHO-2025-10-29,2025-10-29,MEM,PHO,2025-10-28,MEM,MEM,1,0.404,1.731066853085368,100.0,73.11
A,NOP-DEN-2025-10-29,2025-10-29,NOP,DEN,2025-10-28,DEN,DEN,1,0.925768,1.2134668931941166,100.0,21.35
B,NOP-DEN-2025-10-29,2025-10-29,NOP,DEN,2025-10-28,DEN,DEN,1,0.73,1.2134668931941166,100.0,21.35
C,NOP-DEN-2025-10-29,2025-10-29,NOP,DEN,2025-10-28,DEN,DEN,1,0.926,1.2134668931941166,100.0,21.35
A,ORL-DET-2025-10-29,2025-10-29,ORL,DET,2025-10-28,DET,DET,1,0.62677,2.1075348929637956,100.0,110.75
B,ORL-DET-2025-10-29,2025-10-29,ORL,DET,2025-10-28,DET,DET,1,0.53,2.1075348929637956,100.0,110.75
C,ORL-DET-2025-10-29,2025-10-29,ORL,DET,2025-10-28,DET,DET,1,0.627,2.1075348929637956,100.0,110.75
