arm,game_id,game_date,away,home,cutoff,language_model,home_win_prob,predicted_winner,actual_winner,correct,stake,selected_decimal_odds,net_pnl,tool_calls,tool_call_count,gate_passed,gate_failed,elapsed_seconds,input_tokens,output_tokens,system_prompt_sha256,narrative
B,MIA-CHO-2026-04-14,2026-04-14,MIA,CHO,2026-04-05,gemma4:latest via Ollama,0.68,CHO,CHO,1,100.0,1.419985256803251,41.99852568,"[""retrieve_matchup_context"", ""retrieve_team_form"", ""retrieve_team_form"", ""retrieve_injuries"", ""retrieve_injuries""]",5.0,5.0,0.0,36.3,16520.0,2018.0,7ca5185ee48734db6d943f4311aced73e7d7a42dfd6116a64b2042fd88a942ab,"The Charlotte Hornets enter this matchup in exceptional form, boasting an impressive 8-2 record and a massive +18.0 point differential over their last ten games. Conversely, the Miami Heat are struggling significantly, evidenced by a poor 3-7 recent record and a negative rolling point differential of -7.7. Furthermore, MIA is hampered by the absence of star Norman Powell, giving CHO a substantial advantage based on current team strength."
B,GSW-LAC-2026-04-15,2026-04-15,GSW,LAC,2026-04-05,gemma4:latest via Ollama,0.68,LAC,GSW,0,100.0,1.4765224814319189,-100,"[""retrieve_matchup_context"", ""retrieve_team_form"", ""retrieve_team_form"", ""retrieve_injuries"", ""retrieve_injuries""]",5.0,5.0,0.0,64.5,18275.0,2048.0,7ca5185ee48734db6d943f4311aced73e7d7a42dfd6116a64b2042fd88a942ab,"The Los Angeles Clippers enter this matchup as clear favorites due to their vastly superior recent form. While both teams are dealing with significant injuries—including star players for both sides—LAC's positive rolling point differential (+2.6) contrasts sharply with GSW's negative differential (-7.3). The disparity in current performance, coupled with LAC's better overall record (39-38 vs 36-41), suggests a strong advantage for the home team."
B,CHO-ORL-2026-04-17,2026-04-17,CHO,ORL,2026-04-05,gemma4:latest via Ollama,0.32,CHO,ORL,0,100.0,1.688418440706501,-100,"[""retrieve_matchup_context"", ""retrieve_team_form"", ""retrieve_team_form"", ""retrieve_injuries"", ""retrieve_injuries""]",5.0,5.0,0.0,37.6,17226.0,1873.0,7ca5185ee48734db6d943f4311aced73e7d7a42dfd6116a64b2042fd88a942ab,"The Hornets enter this matchup in significantly better form than the Magic, boasting an 8-2 record over their last ten outings. This strong recent performance is amplified by a massive rolling point differential that heavily favors Charlotte. Furthermore, Orlando's depth is compromised by multiple key injuries to players like Anthony Black and Jonathan Isaac, giving the Hornets a substantial advantage despite playing away from home."
B,ATL-NYK-2026-04-18,2026-04-18,ATL,NYK,2026-04-05,gemma4:latest via Ollama,0.47,ATL,NYK,0,100.0,2.8847792084004973,-100,"[""retrieve_matchup_context"", ""retrieve_team_form"", ""retrieve_team_form"", ""retrieve_injuries"", ""retrieve_injuries""]",5.0,5.0,0.0,70.5,16597.0,2474.0,7ca5185ee48734db6d943f4311aced73e7d7a42dfd6116a64b2042fd88a942ab,"The matchup presents a toss-up, with ATL carrying the edge due to significantly superior rolling form (+12.5 differential) compared to NYK's recent performance. However, NYK benefits from home court and has dominated the last five head-to-head meetings. While ATL is hampered by key rotation injuries, their current offensive efficiency suggests they are capable of challenging the Knicks in a close contest."
B,MIN-DEN-2026-04-20,2026-04-20,MIN,DEN,2026-04-05,gemma4:latest via Ollama,0.68,DEN,MIN,0,100.0,1.3939374523829573,-100,"[""retrieve_matchup_context"", ""retrieve_team_form"", ""retrieve_team_form"", ""retrieve_injuries"", ""retrieve_injuries""]",5.0,5.0,0.0,40.0,17566.0,1717.0,7ca5185ee48734db6d943f4311aced73e7d7a42dfd6116a64b2042fd88a942ab,"Denver enters this matchup with a significant advantage, boasting excellent rolling form and having fewer key players sidelined than their opponent. Minnesota's absence of stars Anthony Edwards and Jaden McDaniels severely limits their offensive ceiling. While the teams have equal rest, Denver's combination of superior recent performance and critical health advantages makes them the clear favorite."
C,CHO-BOS-2026-04-07,2026-04-07,CHO,BOS,2026-04-05,gemma4:latest via Ollama,0.63,BOS,BOS,1,100.0,1.5395645124767854,53.95645125,"[""retrieve_matchup_context"", ""retrieve_team_form"", ""retrieve_team_form"", ""retrieve_injuries"", ""retrieve_injuries"", ""predict_win_probability""]",6.0,6.0,0.0,40.5,24938.0,2025.0,6dce1b4ef8c5041a670f13228fa8042b9df22cc32a141d59eee3b9f972c708dd,"The Boston Celtics enter this matchup as clear favorites, bolstered by their strong overall season performance and a clean bill of health. The Hornets face significant adversity with P.J. Hall sidelined for the entire season, which is compounded by poor historical results against BOS. While both teams have equal rest, BOS's superior depth and recent head-to-head dominance give them a substantial edge in this contest."
C,ATL-CLE-2026-04-08,2026-04-08,ATL,CLE,2026-04-05,gemma4:latest via Ollama,0.467,ATL,CLE,0,100.0,2.487057668129615,-100,"[""retrieve_matchup_context"", ""retrieve_team_form"", ""retrieve_team_form"", ""retrieve_injuries"", ""retrieve_injuries"", ""predict_win_probability""]",6.0,6.0,0.0,49.5,20253.0,1935.0,6dce1b4ef8c5041a670f13228fa8042b9df22cc32a141d59eee3b9f972c708dd,"The Atlanta Hawks enter this matchup as slight favorites due to their strong recent form, evidenced by a +12.5 rolling point differential over the last 10 games. Cleveland's overall rating and record are impressive, but they face significant challenges with multiple key players—including Evan Mobley and Jarrett Allen—currently sidelined on injury. The model prediction reflects this disparity, giving Atlanta a slight edge despite both teams having equal rest."
C,IND-BRK-2026-04-09,2026-04-09,IND,BRK,2026-04-05,gemma4:latest via Ollama,0.48,IND,IND,1,100.0,1.648072857790548,64.80728578,"[""retrieve_matchup_context"", ""retrieve_team_form"", ""retrieve_team_form"", ""retrieve_injuries"", ""retrieve_injuries"", ""predict_win_probability""]",6.0,6.0,0.0,44.5,27341.0,2028.0,6dce1b4ef8c5041a670f13228fa8042b9df22cc32a141d59eee3b9f972c708dd,"Indiana enters this matchup with a substantial advantage in current form, boasting a rolling point differential of -5.1 compared to Brooklyn's poor -15.6. While Model A predicts a high probability for the home Nets (64.5%), the significant disparity in recent performance suggests Indiana is favored despite playing on the road. Both teams are dealing with key injuries—Michael Porter Jr. for Brooklyn and Ivica Zubac for Indiana—which will limit star power, but Indiana's superior point differential gives them a slight edge."
C,ORL-CHI-2026-04-10,2026-04-10,ORL,CHI,2026-04-05,gemma4:latest via Ollama,0.3416,ORL,ORL,1,100.0,1.0944003516016714,9.44003516,"[""retrieve_matchup_context"", ""retrieve_team_form"", ""retrieve_team_form"", ""retrieve_injuries"", ""retrieve_injuries"", ""predict_win_probability""]",6.0,6.0,0.0,46.6,28539.0,2286.0,6dce1b4ef8c5041a670f13228fa8042b9df22cc32a141d59eee3b9f972c708dd,"The Orlando Magic enter this matchup as clear favorites, supported by superior rolling form and a one-day rest advantage over the Chicago Bulls. While both teams are dealing with significant injury concerns, the Bulls' recent struggles and deep roster absences give Orlando a distinct edge. The model reflects this disparity, predicting a strong win probability for the away team."
C,ATL-MIA-2026-04-12,2026-04-12,ATL,MIA,2026-04-05,gemma4:latest via Ollama,0.2362,ATL,MIA,0,100.0,4.253041001352346,-100,"[""retrieve_matchup_context"", ""retrieve_team_form"", ""retrieve_team_form"", ""retrieve_injuries"", ""retrieve_injuries"", ""predict_win_probability""]",6.0,6.0,0.0,35.4,26210.0,1742.0,6dce1b4ef8c5041a670f13228fa8042b9df22cc32a141d59eee3b9f972c708dd,"Atlanta enters this matchup in excellent form, boasting a +12.5 point differential over its last 10 games, while Miami struggles significantly with a -7.7 differential. The absence of star Norman Powell for the Heat is a major blow to their offensive ceiling. Given Atlanta's strong current performance and Miami's key injury, the model predicts a substantial win probability for the away Hawks."
C,MIA-CHO-2026-04-14,2026-04-14,MIA,CHO,2026-04-05,gemma4:latest via Ollama,0.89,CHO,CHO,1,100.0,1.419985256803251,41.99852568,"[""retrieve_matchup_context"", ""retrieve_team_form"", ""retrieve_team_form"", ""retrieve_injuries"", ""retrieve_injuries"", ""predict_win_probability""]",6.0,6.0,0.0,33.2,18509.0,1705.0,6dce1b4ef8c5041a670f13228fa8042b9df22cc32a141d59eee3b9f972c708dd,"Charlotte has established a significant advantage heading into this matchup, driven by its outstanding recent performance reflected in an average point differential of +18.0 over the last 10 games. Conversely, Miami struggles with negative momentum and a rolling point differential of -7.7. This massive disparity in current form aligns strongly with Model A's prediction, which gives Charlotte an estimated 89% chance of victory. While both teams are dealing with key injuries (Powell for MIA; Hall for CHO), the overwhelming strength signal from Charlotte's recent play makes them clear favorites."
C,GSW-LAC-2026-04-15,2026-04-15,GSW,LAC,2026-04-05,gemma4:latest via Ollama,0.77,LAC,GSW,0,100.0,1.4765224814319189,-100,"[""retrieve_matchup_context"", ""retrieve_team_form"", ""retrieve_team_form"", ""retrieve_injuries"", ""retrieve_injuries"", ""predict_win_probability""]",6.0,6.0,0.0,44.4,28452.0,2083.0,6dce1b4ef8c5041a670f13228fa8042b9df22cc32a141d59eee3b9f972c708dd,"The Los Angeles Clippers enter this matchup as strong favorites, supported by their significantly better rolling form (+2.6 average point differential) compared to the Golden State Warriors (-7.3). While both teams are dealing with key injuries—GSW is missing Jimmy Butler and Al Horford, while LAC is missing Bradley Beal—the combination of superior recent performance and historical head-to-head success points toward a Clippers victory at home."
C,CHO-ORL-2026-04-17,2026-04-17,CHO,ORL,2026-04-05,gemma4:latest via Ollama,0.1737,CHO,ORL,0,100.0,1.688418440706501,-100,"[""retrieve_matchup_context"", ""retrieve_team_form"", ""retrieve_team_form"", ""retrieve_injuries"", ""retrieve_injuries"", ""predict_win_probability""]",6.0,6.0,0.0,41.9,26699.0,1768.0,6dce1b4ef8c5041a670f13228fa8042b9df22cc32a141d59eee3b9f972c708dd,"The Hornets enter this contest with a substantial advantage, driven by superior rolling form and point differential (+18.0) compared to Orlando's struggles (-9.4). Orlando is severely hampered by the absence of three key players, including Anthony Black and Jonathan Isaac. All signals—including the model prediction (82.63% for CHO)—point overwhelmingly toward a Charlotte victory."
C,ATL-NYK-2026-04-18,2026-04-18,ATL,NYK,2026-04-05,gemma4:latest via Ollama,0.59,NYK,NYK,1,100.0,1.447485891745253,44.74858917,"[""retrieve_matchup_context"", ""retrieve_team_form"", ""retrieve_team_form"", ""retrieve_injuries"", ""retrieve_injuries"", ""predict_win_probability""]",6.0,6.0,0.0,47.9,25650.0,2323.0,6dce1b4ef8c5041a670f13228fa8042b9df22cc32a141d59eee3b9f972c708dd,"The Knicks enter this matchup as the favorites due to their superior overall record (51-31) and high offensive efficiency. However, the Hawks boast a significantly better recent form, evidenced by a +12.5 rolling point differential compared to New York's +7.9. While Atlanta is missing key rotation players like N'Faly Dante and Jock Landale, their current momentum gives them a strong chance to challenge the Knicks' established season-long strength."
C,MIN-DEN-2026-04-20,2026-04-20,MIN,DEN,2026-04-05,gemma4:latest via Ollama,0.46,MIN,MIN,1,100.0,3.123948630907922,212.3948631,"[""retrieve_matchup_context"", ""retrieve_team_form"", ""retrieve_team_form"", ""retrieve_injuries"", ""retrieve_injuries"", ""predict_win_probability""]",6.0,6.0,0.0,40.2,27269.0,1923.0,6dce1b4ef8c5041a670f13228fa8042b9df22cc32a141d59eee3b9f972c708dd,"Despite Denver's vastly superior rolling form metrics (+9.6 differential), the model predicts a slight edge to Minnesota (54.1%). Both teams face significant injury challenges, with MIN missing star Anthony Edwards and DEN dealing with multiple key absences. The prediction suggests that the combined impact of injuries and historical matchup data outweighs Denver's current strong run, leading to a near-even contest."
